 ID,DATA E HORA,TQ SUSPENSÃO,VEL_1_RPM, VEL_5_RPM,COZEDOR, TEMP AMOSTRA C°,ASPECTO
12,6/16/2023 4:40:00 PM,Tanque 1001,123200.0,35760.0,Therlet 4,23.0,OK
29,6/19/2023 3:30:00 AM,Tanque 1003,122800.0,35120.0,Therlet 4,22.0,OK
38,6/20/2023 1:30:00 AM,Tanque 1002,134000.0,38000.0,Therlet 4,23.0,OK
40,6/20/2023 3:30:00 AM,Tanque 1002,119600.0,35280.0,Therlet 4,24.0,OK
45,6/20/2023 5:41:00 AM,Tanque 1001,148800.0,43520.0,Therlet 4,24.0,OK
51,6/20/2023 10:30:00 PM,Tanque 1002,127600.0,36560.0,Therlet 4,24.0,OK
47,6/20/2023 10:33:00 PM,Tanque 1002,127600.0,36560.0,Therlet 4,24.0,OK
53,6/21/2023 12:30:00 AM,Tanque 1002,119200.0,34000.0,Therlet 4,24.0,OK
56,6/21/2023 2:30:00 AM,Tanque 1001,132400.0,39360.0,Therlet 4,24.0,OK
60,6/21/2023 4:30:00 AM,Tanque 1001,130000.0,39040.0,Therlet 4,25.0,OK
63,6/21/2023 2:30:00 PM,Tanque 1001,138800.0,39520.0,Therlet 4,25.0,OK
67,6/21/2023 4:30:00 PM,Tanque 1002,145200.0,41320.0,Therlet 4,25.0,OK
72,6/21/2023 6:30:00 PM,Tanque 1002,146800.0,40640.0,Therlet 4,25.0,OK
76,6/21/2023 8:30:00 PM,Tanque 1001,151000.0,44600.0,Therlet 4,23.0,OK
79,6/21/2023 10:30:00 PM,Tanque 1003,137600.0,40080.0,Therlet 4,25.0,OK
86,6/22/2023 2:30:00 AM,Tanque 1001,122000.0,36160.0,Therlet 4,24.0,OK
90,6/22/2023 4:30:00 AM,Tanque 1002,141200.0,39760.0,Therlet 4,24.0,OK
94,6/22/2023 2:30:00 PM,Tanque 1001,132800.0,37440.0,Therlet 4,24.0,OK
98,6/22/2023 4:30:00 PM,Tanque 1001,146800.0,40320.0,Therlet 4,24.0,OK
102,6/22/2023 6:35:00 PM,Tanque 1003,132400.0,38400.0,Therlet 4,23.0,OK
105,6/22/2023 8:30:00 PM,Tanque 1002,142800.0,38080.0,Therlet 4,26.0,OK
106,6/22/2023 9:30:00 PM,Tanque 1002,139600.0,40080.0,Therlet 4,25.0,OK
107,6/22/2023 10:30:00 PM,Tanque 1003,132000.0,39960.0,Therlet 4,24.0,OK
112,6/23/2023 12:30:00 AM,Tanque 1002,125600.0,36000.0,Therlet 4,25.0,OK
116,6/23/2023 2:30:00 AM,Tanque 1001,152000.0,41520.0,Therlet 4,25.0,OK
120,6/23/2023 4:30:00 AM,Tanque 1001,132800.0,38320.0,Therlet 4,25.0,OK
124,6/23/2023 2:41:00 PM,Tanque 1002,130400.0,36080.0,Therlet 4,25.0,OK
128,6/23/2023 6:33:00 PM,Tanque 1002,125600.0,36320.0,Therlet 4,29.0,OK
129,6/23/2023 6:33:00 PM,Tanque 1002,125600.0,36320.0,Therlet 4,29.0,OK
